JobId,AllocCPUS,NTasks,AllocNodes,CPUTime,Elapsed,Submit,Start,MaxRSS,Hyperthreading
20032591.batch,18,1,1,03:43:12,00:12:24,May 13 12:13,May 13 12:15,4145580K,True
20032595.batch,26,1,1,04:31:16,00:10:26,May 13 12:13,May 13 12:17,4344056K,True
20032594.batch,24,1,1,03:40:00,00:09:10,May 13 12:13,May 13 12:19,4308156K,True
20032589.batch,14,1,1,03:37:42,00:15:33,May 13 12:13,May 13 12:14,4068936K,True
20032588.batch,12,1,1,03:22:24,00:16:52,May 13 12:13,May 13 12:13,4055408K,True
20032587.batch,10,1,1,02:58:40,00:17:52,May 13 12:13,May 13 12:13,4016636K,True
20032586.batch,8,1,1,02:47:28,00:20:56,May 13 12:13,May 13 12:15,3849668K,True
20032618.batch,72,1,1,06:52:48,00:05:44,May 13 12:13,May 13 12:38,5571684K,True
20032585.batch,6,1,1,02:54:00,00:29:00,May 13 12:13,May 13 12:17,3939508K,True
20032617.batch,70,1,1,06:18:00,00:05:24,May 13 12:13,May 13 12:44,5479380K,True
20032584.batch,4,1,1,02:36:36,00:39:09,May 13 12:13,May 13 12:17,4141012K,True
20032616.batch,68,1,1,05:42:16,00:05:02,May 13 12:13,May 13 13:19,5505384K,True
20032592.batch,20,1,1,04:06:20,00:12:19,May 13 12:13,May 13 13:04,4180512K,True
20032590.batch,16,1,1,04:24:16,00:16:31,May 13 12:13,May 13 12:58,4091396K,True
20032593.batch,22,1,1,03:57:58,00:10:49,May 13 12:13,May 13 13:04,4242864K,True
20032603.batch,42,1,1,05:21:18,00:07:39,May 13 12:13,May 13 20:09,4521652K,True
20032607.batch,50,1,1,05:28:20,00:06:34,May 13 12:13,May 13 20:12,5011160K,True
20032615.batch,66,1,1,06:27:12,00:05:52,May 13 12:13,May 13 20:11,5423716K,True
20032605.batch,46,1,1,06:10:18,00:08:03,May 13 12:13,May 13 20:12,4897884K,True
20032604.batch,44,1,1,05:32:12,00:07:33,May 13 12:13,May 13 20:13,4835968K,True
20032606.batch,48,1,1,06:40:48,00:08:21,May 13 12:13,May 13 20:19,5002148K,True
20032602.batch,40,1,1,05:11:20,00:07:47,May 13 12:13,May 13 20:22,4465124K,True
20032601.batch,38,1,1,05:47:42,00:09:09,May 13 12:13,May 13 20:30,4427396K,True
20032599.batch,34,1,1,04:49:00,00:08:30,May 13 12:13,May 13 21:19,4464012K,True
20032611.batch,58,1,1,07:05:20,00:07:20,May 13 12:13,May 13 21:32,5225552K,True
20032598.batch,32,1,1,03:45:04,00:07:02,May 13 12:13,May 13 21:33,4481188K,True
20032600.batch,36,1,1,04:52:48,00:08:08,May 13 12:13,May 13 21:32,4344364K,True
20032610.batch,56,1,1,06:14:16,00:06:41,May 13 12:13,May 13 21:39,5214504K,True
20032596.batch,28,1,1,04:07:20,00:08:50,May 13 12:13,May 13 21:41,4568952K,True
20032597.batch,30,1,1,04:13:30,00:08:27,May 13 12:13,May 13 22:36,4468200K,True
20032614.batch,64,1,1,06:09:04,00:05:46,May 13 12:13,May 13 23:32,5328616K,True
20032613.batch,62,1,1,06:23:22,00:06:11,May 13 12:13,May 13 23:41,5293112K,True
20032612.batch,60,1,1,05:57:00,00:05:57,May 13 12:13,May 13 23:48,5249652K,True
20032608.batch,52,1,1,06:05:44,00:07:02,May 13 12:13,May 14 01:50,5026664K,True
20032609.batch,54,1,1,06:24:18,00:07:07,May 13 12:13,May 14 02:21,5120972K,True
20062295.batch,72,10,10,00:46:36,00:03:53,May 17 21:26,May 17 21:27,368752K,True
20062294.batch,72,9,9,00:37:20,00:04:40,May 17 21:26,May 17 21:27,355704K,True
20062293.batch,72,8,8,00:51:48,00:04:19,May 17 21:26,May 17 21:27,367792K,True
20062292.batch,72,7,7,00:45:48,00:03:49,May 17 21:26,May 17 21:31,368724K,True
20062290.batch,72,6,6,01:03:28,00:03:58,May 17 21:26,May 17 21:33,367596K,True
20062291.batch,72,5,5,01:03:28,00:04:32,May 17 21:26,May 17 21:33,356784K,True
20062289.batch,72,4,4,01:04:48,00:03:36,May 17 21:26,May 17 21:35,368700K,True
20062288.batch,72,3,3,01:37:30,00:03:45,May 17 21:26,May 17 21:37,367452K,True
20062287.batch,72,2,2,02:25:48,00:04:03,May 17 21:26,May 17 22:48,369072K,True
20062286.batch,72,1,1,05:01:12,00:04:11,May 17 21:26,May 18 12:17,367480K,True
